generations ; different number of genome ; average fitness ; variance Fitness ; first quartile Fitness ; median fitness ; third quartile fitness, average match ; variance match ;first quartile match ; median Match ; third quartile match ; agent alive; average genome's age; variance genome's age; first quartile genome's age; median genome's age ; third quartile genome's age ; yougest genome ;oldest genome 
26 ; 12;2378.5;4.1715e+06;964.096;2409.59;3596.48;9.66297;1.34251;8.81356;9.57627;10.4237;399;1;0;1;1;1;1;1;6.24638;68.8213;0.000493405;4.94226;11.395
27 ; 12;2434.86;4.01676e+06;1040.55;2499.48;3652.28;9.70787;1.2982;8.86667;9.63333;10.4167;399;1;0;1;1;1;1;1;5.51303;77.0706;-0.000555163;4.36771;10.7559
28 ; 12;2470.63;3.89902e+06;1136.7;2496.5;3664.95;9.76488;1.25786;8.98361;9.70492;10.5082;399;1;0;1;1;1;1;1;6.44867;72.4472;0.00163017;5.73172;11.3579
29 ; 11;2530.79;3.77872e+06;1214.44;2584.68;3737.84;9.82347;1.22452;9.06452;9.74194;10.5484;399;1;0;1;1;1;1;1;7.07864;67.366;0.17036;7.05042;12.0375
30 ; 9;2591.98;3.68936e+06;1247.18;2645.38;3772.09;9.89294;1.17976;9.14286;9.8254;10.6032;399;1;0;1;1;1;1;1;6.81957;62.2177;0.23156;6.10698;11.3324
31 ; 7;2646.84;3.59941e+06;1325.05;2664.59;3846.82;9.95156;1.16229;9.20312;9.875;10.6562;400;1;0;1;1;1;1;1;6.5024;67.1804;0.00140422;5.29768;11.3608
32 ; 7;2704.59;3.49968e+06;1455.75;2739.53;3862.69;10.0177;1.13855;9.26154;9.92308;10.7538;400;1;0;1;1;1;1;1;7.11192;82.4596;0.000795273;6.58277;11.9789
33 ; 7;2761.69;3.4188e+06;1517.83;2807.74;3881.47;10.0759;1.12345;9.30303;10.0152;10.803;400;1;0;1;1;1;1;1;7.19355;77.158;0.00203081;7.74077;12.0269
34 ; 6;2812.16;3.31604e+06;1528.26;2821.68;3869.31;10.1446;1.09638;9.43284;10.0448;10.8507;400;1;0;1;1;1;1;1;7.06802;82.4194;0.000291576;6.79959;12.0337
35 ; 6;2862.22;3.26011e+06;1622.55;2886.92;3972.74;10.2046;1.07137;9.47059;10.1765;10.8971;400;1;0;1;1;1;1;1;6.97387;76.9232;0.000840357;6.09248;12.0279
36 ; 5;2904.81;3.19114e+06;1704.77;2895.08;3989.55;10.2453;1.04088;9.53623;10.1739;10.913;400;1;0;1;1;1;1;1;7.27883;78.5026;0.00242741;7.88098;12.0278
37 ; 5;2965.25;3.09431e+06;1749.24;2983.6;3986.08;10.3168;1.00641;9.57143;10.2;10.9571;400;1;0;1;1;1;1;1;7.08026;67.7718;0.00288736;5.83034;12.0299
38 ; 5;3011;3.03888e+06;1789.81;3001.1;4076.49;10.3673;0.978433;9.67606;10.3239;11.0282;400;1;0;1;1;1;1;1;7.05325;88.1446;0.00127922;6.08628;12.025
39 ; 5;3058;2.98796e+06;1931.54;2998.5;4124.36;10.4083;0.954816;9.77778;10.3611;11.0556;399;1;0;1;1;1;1;1;7.25298;80.0104;0.00228752;7.51739;12.0286
40 ; 5;3109.67;2.92739e+06;1965.16;3098;4124.34;10.451;0.940872;9.80822;10.3836;11.1233;399;1;0;1;1;1;1;1;7.12792;86.7419;0.00191343;5.69163;12.0268
41 ; 5;3169.09;2.86094e+06;2044.67;3142.4;4211.13;10.4929;0.926613;9.82432;10.4595;11.1351;398;1;0;1;1;1;1;1;8.42826;91.2801;0.0022492;8.0526;12.9901
42 ; 5;3231.26;2.79805e+06;2108.87;3247.35;4241.29;10.5321;0.909204;9.86667;10.5067;11.1867;397;1;0;1;1;1;1;1;8.94872;979.218;0;6.48989;12.616
