proportion
0.57,0.494,0.46,0.608,0.788,0.912,0.962,0.99,1,1,1,1,1,1,1,1,1,1,1,1,
0.61,0.576,0.648,0.8,0.938,0.998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

0.234,0.244,0.274,0.374,0.486,0.608,0.68,0.732,0.794,0.844,0.824,0.878,0.906,0.96,0.954,0.97,0.986,0.996,0.998,1,
0.172,0.174,0.182,0.332,0.49,0.658,0.816,0.866,0.93,0.976,1,1,1,1,1,1,1,1,1,1,

1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

0.42,0.42,0.404,0.558,0.776,0.898,0.958,0.976,0.998,1,1,1,1,1,1,1,1,1,1,1,
0.392,0.37,0.292,0.43,0.586,0.746,0.888,0.96,0.97,0.994,0.994,0.996,0.996,0.992,0.998,1,1,1,1,1,

0.038,0.068,0.148,0.216,0.38,0.57,0.758,0.902,0.97,0.994,0.994,0.998,1,1,1,1,1,1,1,1,
0.058,0.088,0.126,0.342,0.648,0.916,0.986,0.986,1,1,1,1,1,1,1,1,1,1,1,1,

0.668,0.684,0.796,0.922,0.97,0.976,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
0.676,0.664,0.752,0.878,0.97,0.992,0.996,0.996,1,1,1,1,1,1,1,1,1,1,1,1,

0.338,0.39,0.488,0.704,0.85,0.924,0.966,0.972,0.988,0.99,0.998,0.998,1,1,1,1,1,1,1,1,
0.37,0.442,0.606,0.752,0.9,0.908,0.96,0.968,0.97,0.98,0.972,0.972,0.994,0.994,0.998,0.996,1,1,1,1,

0.17,0.142,0.202,0.264,0.438,0.558,0.706,0.766,0.778,0.81,0.868,0.86,0.856,0.912,0.94,0.976,0.986,0.984,0.994,0.998,
0.152,0.128,0.058,0.042,0.062,0.062,0.104,0.112,0.222,0.26,0.328,0.366,0.446,0.482,0.464,0.522,0.528,0.542,0.53,0.512,

0.542,0.572,0.706,0.898,0.982,0.994,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
0.6,0.644,0.65,0.792,0.938,0.978,0.994,0.998,1,1,1,1,1,1,1,1,1,1,1,1,

0.292,0.36,0.55,0.808,0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
0.358,0.418,0.552,0.772,0.946,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

0.976,0.974,0.986,0.998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
0.976,0.974,0.996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

0.734,0.75,0.85,0.912,0.962,0.982,0.986,0.982,0.964,0.99,0.996,0.996,1,1,1,1,1,1,1,1,
0.712,0.768,0.896,0.942,0.986,0.99,0.998,1,1,1,1,1,1,1,1,1,1,1,1,1,

0.512,0.554,0.772,0.874,0.934,0.964,0.96,0.974,0.988,1,1,1,1,1,1,1,1,1,1,1,
0.572,0.614,0.728,0.812,0.856,0.92,0.898,0.946,0.962,0.94,0.932,0.956,0.956,0.954,0.964,0.972,0.964,0.97,0.938,0.932,

0.854,0.896,0.982,0.994,0.994,0.992,0.998,1,1,1,1,1,1,1,1,1,1,1,1,1,
0.892,0.936,0.988,0.996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

0.86,0.882,0.98,0.994,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
0.852,0.892,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

0.766,0.792,0.886,0.918,0.958,0.982,0.99,0.996,1,1,1,1,1,1,1,1,1,1,1,1,
0.752,0.784,0.846,0.928,0.93,0.958,0.98,0.992,1,1,1,1,1,1,1,1,1,1,1,1,

0.348,0.324,0.256,0.36,0.442,0.566,0.65,0.704,0.774,0.822,0.85,0.908,0.914,0.948,0.956,0.948,0.942,0.974,0.962,0.992,
0.304,0.32,0.462,0.526,0.648,0.718,0.842,0.862,0.89,0.912,0.946,0.946,0.968,0.978,0.978,0.964,0.968,0.984,0.962,0.982,

0.098,0.112,0.246,0.322,0.418,0.484,0.536,0.556,0.552,0.628,0.646,0.712,0.75,0.73,0.714,0.716,0.672,0.71,0.716,0.662,
0.106,0.106,0.096,0.12,0.216,0.304,0.4,0.406,0.416,0.472,0.406,0.43,0.448,0.49,0.504,0.54,0.552,0.474,0.51,0.444,

0.596,0.63,0.658,0.794,0.904,0.952,0.978,0.966,0.982,0.994,1,1,1,1,1,1,1,1,1,1,
0.602,0.694,0.784,0.852,0.968,0.984,1,0.998,1,1,1,1,1,1,1,1,1,1,1,1,

0.364,0.412,0.598,0.782,0.896,0.972,0.988,1,1,1,1,1,1,1,1,1,1,1,1,1,
