generations ; different number of genome ; average fitness ; variance Fitness ; first quartile Fitness ; median fitness ; third quartile fitness, average match ; variance match ;first quartile match ; median Match ; third quartile match ; agent alive; average genome's age; variance genome's age; first quartile genome's age; median genome's age ; third quartile genome's age ; yougest genome ;oldest genome ; average distance ; variance distance ; first quartiel distance ; sencond quartile distance ; third quartile distance
31 ; 7;3579.74;7.04099e+06;1798.36;3473.76;5205.36;10.4319;2.69204;9.25806;10.2903;11.3871;400;1;0;1;1;1;1;1;7.12543;77.5145;0.00380414;6.49386;12.7654
32 ; 7;3696.72;6.8021e+06;1904.61;3551.12;5341.4;10.5301;2.6436;9.46875;10.4062;11.4688;400;1;0;1;1;1;1;1;7.46076;101.93;0.000218065;5.85169;13.9103
33 ; 7;3786.85;6.57376e+06;1913.69;3605.54;5341.16;10.6047;2.60147;9.51515;10.4848;11.5152;400;1;0;1;1;1;1;1;7.60255;95.9262;0.000516847;6.33779;13.9066
34 ; 7;3876.72;6.14056e+06;2174.92;3790.63;5417.33;10.6718;2.56485;9.61765;10.5588;11.6471;400;1;0;1;1;1;1;1;8.58449;101.069;0.006312;7.22033;13.9155
35 ; 7;3985.91;5.85724e+06;2328.01;3983.13;5569.64;10.7506;2.5331;9.68571;10.6286;11.6571;400;1;0;1;1;1;1;1;9.5078;105.357;0.00481231;8.88191;14.1224
36 ; 7;4121.67;5.56485e+06;2527.9;4070.95;5587.16;10.8377;2.47788;9.75;10.7222;11.75;400;1;0;1;1;1;1;1;9.34279;119.54;0.0984953;8.26453;15.1742
37 ; 7;4230.42;5.35111e+06;2670.5;4151.81;5666.76;10.9201;2.44292;9.86486;10.8378;11.8649;400;1;0;1;1;1;1;1;8.78976;106.523;0.00439576;8.2676;13.9155
38 ; 6;4342.1;5.17086e+06;2759.2;4269.74;5813.4;11.004;2.41316;10;10.9737;11.9211;400;1;0;1;1;1;1;1;8.35702;118.013;0.000464259;6.92682;13.9171
39 ; 6;4425.55;4.97938e+06;2838.96;4422.75;5796.82;11.0429;2.37926;10.0256;10.9744;12;399;1;0;1;1;1;1;1;8.61612;117.183;0.000562235;6.76986;13.9183
40 ; 5;4504.74;4.81111e+06;2941.64;4548.72;5944.4;11.0584;2.35269;10.05;11.05;11.95;399;1;0;1;1;1;1;1;9.18329;117.871;0.000444938;8.84534;13.916
41 ; 3;4615.73;4.65084e+06;3106.29;4656.69;6085.14;11.0863;2.29481;10.0488;11.0732;12.0488;399;1;0;1;1;1;1;1;9.31461;110.202;0.00191073;8.22875;16.2931
42 ; 3;4704.07;4.45964e+06;3270.51;4714.11;6056.72;11.1094;2.27328;10.0476;11.119;12;398;1;0;1;1;1;1;1;37.8427;330556;0.000893446;6.93415;14.5609
43 ; 3;4779.42;4.41903e+06;3273.53;4714.56;6100.78;11.1266;2.27996;10.093;11.1628;12.0698;398;1;0;1;1;1;1;1;8.3807;109.932;0.00071685;6.92416;13.9145
44 ; 2;4857.85;4.30484e+06;3345.39;4811.35;6229.73;11.1474;2.29783;10.0909;11.1364;12.0455;397;1;0;1;1;1;1;1;10.3036;118.315;0.00440939;11.042;15.6451
45 ; 2;4971.65;4.13067e+06;3538.52;4942.18;6401.23;11.1704;2.28758;10.0667;11.1111;12.1333;396;1;0;1;1;1;1;1;9.37501;114.595;0.00121017;6.93133;13.9224
46 ; 2;5041.78;4.02377e+06;3659.03;5018.33;6373.94;11.1866;2.30287;10.1087;11.1304;12.1522;396;1;0;1;1;1;1;1;8.51323;100.369;9.93054e-05;6.71231;13.9177
47 ; 2;5102.1;3.92834e+06;3659.67;5018.81;6417.78;11.2204;2.25622;10.1915;11.2128;12.1915;396;1;0;1;1;1;1;1;8.50978;115.035;0.00239128;6.87248;13.9139
48 ; 2;5153.84;3.76056e+06;3826.11;5038.72;6422.21;11.237;2.2216;10.2292;11.2083;12.2083;395;1;0;1;1;1;1;1;8.39827;116.354;0.00128976;6.71277;13.9128
49 ; 1;5210.15;3.69571e+06;3892.39;5140.57;6418.69;11.2556;2.18;10.2449;11.2245;12.2449;396;1;0;1;1;1;1;1;8.1326;102.716;0.00153295;6.91902;13.9148
50 ; 1;5270.12;3.59797e+06;3952.89;5218.25;6522.76;11.2598;2.14386;10.24;11.22;12.26;396;1;0;1;1;1;1;1;9.19151;118.02;0.00202038;6.9322;13.9159
51 ; 1;5333.53;3.5217e+06;4009.91;5270.33;6572.87;11.2871;2.12669;10.2549;11.2157;12.3333;395;1;0;1;1;1;1;1;7.85693;88.3602;0.00223698;6.26846;13.9124
52 ; 1;5383.52;3.42141e+06;4078.34;5343.69;6629.33;11.2936;2.08736;10.2885;11.1923;12.3269;395;1;0;1;1;1;1;1;7.9285;96.6176;4.83122e-05;6.06047;13.9129
53 ; 1;5433.26;3.37005e+06;4128.34;5404.52;6646.74;11.2959;2.03628;10.3208;11.1887;12.2264;394;1;0;1;1;1;1;1;9.41862;105.855;0.00296467;7.80166;13.9205
54 ; 1;5495.33;3.33685e+06;4148.32;5500.99;6724.5;11.3043;1.97104;10.3333;11.2037;12.2037;395;1;0;1;1;1;1;1;8.32845;114.2;0.000220062;6.92104;13.9212
55 ; 1;5531.6;3.31264e+06;4246.93;5531.71;6723.34;11.3063;1.92111;10.3455;11.2182;12.1818;396;1;0;1;1;1;1;1;9.2154;95.5106;0.00305633;9.46761;14.9222
56 ; 1;5590.81;3.22093e+06;4337.09;5532.42;6780.04;11.3106;1.84818;10.375;11.2679;12.1786;396;1;0;1;1;1;1;1;9.0486;116.466;0.000118198;7.14698;14.1298
57 ; 1;5650.02;3.16372e+06;4360.62;5625.95;6875.03;11.32;1.81418;10.3684;11.2807;12.1754;396;1;0;1;1;1;1;1;9.38094;114.349;0.00275127;7.57924;14.9984
58 ; 1;5696.64;3.0907e+06;4365.47;5625.31;6906.69;11.329;1.78902;10.3966;11.2759;12.2069;397;1;0;1;1;1;1;1;7.80116;100.738;0.000479812;6.91315;13.914
59 ; 1;5736.98;3.08776e+06;4524.03;5644.33;6966.23;11.3373;1.75393;10.4068;11.322;12.2034;397;1;0;1;1;1;1;1;8.39921;105.757;0.00145263;6.7145;13.9165
60 ; 1;5768.05;3.00246e+06;4478.3;5646.58;7002.72;11.3298;1.70952;10.4;11.3;12.2;396;1;0;1;1;1;1;1;8.80703;123.847;0.00134273;6.87011;13.9196
61 ; 1;5813.38;2.9888e+06;4604.03;5699.7;6973.42;11.3419;1.68007;10.4262;11.2951;12.1967;397;1;0;1;1;1;1;1;9.22939;110.09;0.000755848;7.13696;14.1277
62 ; 1;5859.48;2.95622e+06;4646.98;5756.94;7005.34;11.3355;1.67174;10.4194;11.2742;12.2097;398;1;0;1;1;1;1;1;10.1848;127.099;0.00287271;13.6873;17.1519
63 ; 1;5913.44;2.86546e+06;4694.75;5841.26;7064.99;11.3472;1.63346;10.4444;11.2698;12.2222;399;1;0;1;1;1;1;1;10.6139;125.627;0.00562936;13.7882;17.7965
64 ; 1;5966.36;2.80284e+06;4745.05;5939.39;7133.18;11.3715;1.61826;10.4688;11.3281;12.2031;399;1;0;1;1;1;1;1;9.22428;106.141;0.0027896;7.35675;13.9207
65 ; 1;6005.13;2.7392e+06;4835.6;6004.77;7162.95;11.3823;1.6009;10.4615;11.3385;12.2462;398;1;0;1;1;1;1;1;8.30906;105.499;0.00178404;6.71461;14.4794
66 ; 1;6031.99;2.68342e+06;4880.48;6038.89;7127.29;11.3853;1.57627;10.4848;11.3636;12.2727;396;1;0;1;1;1;1;1;9.10592;111.197;0.000997176;6.92816;14.1314
67 ; 1;6074.32;2.60477e+06;4924.3;6136.45;7103.11;11.3775;1.5735;10.4776;11.3433;12.2537;396;1;0;1;1;1;1;1;9.15106;127.984;0.00217236;7.14239;13.9142
68 ; 1;6107.91;2.55665e+06;5014.09;6134.34;7151.97;11.3775;1.56328;10.5147;11.3382;12.25;396;1;0;1;1;1;1;1;8.59768;120.815;0.000750942;6.91742;14.0753
69 ; 1;6146.25;2.48259e+06;5038.79;6133.07;7178.25;11.3743;1.55389;10.4928;11.3623;12.2609;396;1;0;1;1;1;1;1;8.98172;113.347;0.00125637;6.93032;14.7673
70 ; 1;6177.03;2.46362e+06;5090.72;6141.77;7223.69;11.3753;1.54709;10.5;11.3286;12.2857;397;1;0;1;1;1;1;1;9.26007;140.822;0.000836222;7.36663;15.2036
71 ; 1;6208.62;2.46619e+06;5135.06;6171.39;7267.62;11.3925;1.53248;10.5493;11.338;12.2958;397;1;0;1;1;1;1;1;8.6564;131.656;0.00282292;6.72734;14.3366
72 ; 1;6237.19;2.43785e+06;5221.44;6180.96;7240.85;11.4034;1.51049;10.5694;11.3889;12.2917;397;1;0;1;1;1;1;1;9.3952;114.596;0.00253171;7.36451;14.9916
73 ; 1;6268.36;2.39541e+06;5239.74;6199.4;7356;11.4193;1.49028;10.5479;11.3973;12.3288;396;1;0;1;1;1;1;1;8.97173;109.89;0.00124614;6.92003;14.3428
74 ; 1;6293.52;2.37353e+06;5256.53;6253.88;7362.92;11.4278;1.47542;10.5811;11.4189;12.3514;396;1;0;1;1;1;1;1;8.67724;112.592;0.00115998;6.92237;13.9163
75 ; 1;6312.32;2.33465e+06;5211.69;6232.58;7444.14;11.4273;1.45549;10.5733;11.3867;12.2933;397;1;0;1;1;1;1;1;8.64185;105.15;3.38812e-05;6.85809;13.9165
76 ; 1;6343.52;2.29435e+06;5303.58;6238.76;7442.44;11.4337;1.43325;10.5789;11.3816;12.2763;399;1;0;1;1;1;1;1;9.59494;126.405;0.000642788;6.92676;15.866
77 ; 1;6370.01;2.30782e+06;5302.02;6277.85;7501.58;11.437;1.41831;10.6234;11.4416;12.2468;398;1;0;1;1;1;1;1;9.19515;110.364;0.00157246;9.75247;13.9207
78 ; 1;6395.93;2.24156e+06;5370.8;6331.28;7477.86;11.454;1.40976;10.6538;11.4615;12.2436;397;1;0;1;1;1;1;1;8.77649;114.646;0.00212626;7.13901;14.5551
79 ; 1;6424.04;2.19785e+06;5406.87;6337.54;7530.59;11.4505;1.38268;10.6203;11.443;12.2278;395;1;0;1;1;1;1;1;9.50637;139.025;0.00230011;6.92691;16.2854
80 ; 1;6452.46;2.1527e+06;5429.86;6384.05;7490.06;11.4554;1.36566;10.65;11.4875;12.2;394;1;0;1;1;1;1;1;8.95698;116.316;0.00159134;6.93038;13.9175
81 ; 1;6472.94;2.09625e+06;5548.75;6399.87;7512.17;11.4539;1.34215;10.7037;11.4815;12.2099;394;1;0;1;1;1;1;1;8.57265;131.331;0.00155947;6.92262;13.9183
82 ; 1;6499.16;2.0654e+06;5566.91;6435.99;7544.43;11.4595;1.33107;10.7195;11.4756;12.2317;393;1;0;1;1;1;1;1;56.7859;869873;0.00309651;7.78353;16.271
