proportion
0.106,0.172,0.28,0.316,0.308,0.396,0.426,0.484,0.548,0.586,0.628,0.628,0.558,0.618,0.65,0.716,0.76,0.844,0.876,0.868,
0.086,0.114,0.158,0.23,0.31,0.422,0.48,0.622,0.734,0.826,0.86,0.892,0.95,0.972,0.976,0.988,0.994,0.994,0.988,0.974,
0.128,0.26,0.318,0.36,0.416,0.468,0.526,0.598,0.654,0.634,0.686,0.69,0.728,0.728,0.726,0.794,0.852,0.9,0.928,0.954,
0.08,0.15,0.224,0.342,0.434,0.516,0.57,0.63,0.66,0.704,0.726,0.742,0.788,0.808,0.832,0.838,0.806,0.774,0.796,0.794,
0.118,0.18,0.216,0.272,0.408,0.468,0.576,0.61,0.692,0.722,0.766,0.868,0.926,0.946,0.992,1,1,1,1,1,
0.096,0.132,0.184,0.202,0.254,0.318,0.39,0.484,0.61,0.698,0.758,0.816,0.854,0.874,0.932,0.928,0.96,0.966,0.972,0.97,
0.086,0.106,0.154,0.21,0.282,0.346,0.386,0.46,0.522,0.586,0.632,0.71,0.786,0.866,0.91,0.916,0.946,0.938,0.948,0.968,
0.086,0.108,0.144,0.15,0.156,0.204,0.242,0.266,0.348,0.368,0.496,0.494,0.528,0.62,0.654,0.672,0.718,0.758,0.786,0.864,
0.108,0.114,0.192,0.188,0.212,0.326,0.356,0.414,0.444,0.528,0.604,0.692,0.706,0.746,0.832,0.85,0.9,0.924,0.9,0.932,
0.09,0.132,0.156,0.22,0.248,0.322,0.316,0.388,0.442,0.476,0.55,0.558,0.574,0.62,0.622,0.62,0.634,0.618,0.636,0.648,

0.09,0.098,0.136,0.156,0.198,0.222,0.244,0.306,0.324,0.348,0.378,0.372,0.442,0.474,0.6,0.636,0.668,0.626,0.732,0.77,
0.07,0.08,0.1,0.152,0.158,0.198,0.244,0.25,0.288,0.306,0.382,0.424,0.518,0.556,0.584,0.646,0.676,0.668,0.684,0.766,
0.074,0.098,0.122,0.162,0.232,0.322,0.432,0.482,0.58,0.564,0.616,0.698,0.758,0.828,0.89,0.964,0.964,0.974,0.996,0.996,
0.086,0.118,0.098,0.13,0.182,0.216,0.316,0.376,0.414,0.454,0.472,0.48,0.464,0.54,0.562,0.574,0.546,0.59,0.638,0.682,
0.094,0.126,0.21,0.26,0.306,0.354,0.412,0.47,0.53,0.65,0.69,0.7,0.7,0.762,0.784,0.832,0.82,0.816,0.862,0.886,
0.062,0.082,0.078,0.098,0.148,0.206,0.216,0.256,0.302,0.366,0.486,0.554,0.558,0.642,0.764,0.776,0.808,0.85,0.89,0.908,
0.096,0.126,0.146,0.232,0.244,0.342,0.386,0.424,0.45,0.422,0.422,0.474,0.418,0.364,0.382,0.342,0.33,0.288,0.3,0.31,
0.056,0.06,0.07,0.152,0.196,0.248,0.302,0.328,0.326,0.304,0.25,0.252,0.288,0.29,0.25,0.252,0.262,0.254,0.314,0.334,
0.068,0.09,0.128,0.174,0.242,0.31,0.506,0.544,0.62,0.71,0.774,0.784,0.87,0.922,0.946,0.95,0.954,0.948,0.98,0.992,
