generations ; different number of genome ; average fitness ; variance Fitness ; first quartile Fitness ; median fitness ; third quartile fitness, average match ; variance match ;first quartile match ; median Match ; third quartile match ; agent alive; average genome's age; variance genome's age; first quartile genome's age; median genome's age ; third quartile genome's age ; yougest genome ;oldest genome ; average distance ; variance distance ; first quartiel distance ; sencond quartile distance ; third quartile distance
35 ; 19;45.0171;336.889;30.8542;43.732;55.0298;1.97371;0.638623;1.42857;1.85714;2.34286;22;1;0;1;1;1;1;1;13.4213;1966.95;0;0;0
36 ; 19;43.994;321.88;29.9971;42.5173;53.5011;1.96444;0.622954;1.38889;1.83333;2.30556;18;1;0;1;1;1;1;1;19.1591;1984.24;0;0;0
37 ; 18;43.1356;310;29.1864;41.4147;52.0552;1.95928;0.621366;1.37838;1.83784;2.35135;22;1;0;1;1;1;1;1;14.0254;1513.88;0;0;0
38 ; 15;42.3382;302.541;28.4183;40.4262;50.6853;1.96105;0.639674;1.36842;1.84211;2.31579;26;1;0;1;1;1;1;1;28.4282;5141.91;0;0;20.8874
39 ; 15;41.7772;290.354;28.7098;39.7477;49.7052;1.95179;0.625833;1.33333;1.84615;2.28205;19;1;0;1;1;1;1;1;25.2783;3085.81;0;0;14.5098
40 ; 15;41.1751;287.047;27.992;39.0276;48.4625;1.94233;0.606633;1.325;1.825;2.275;12;1;0;1;1;1;1;1;12.3619;1079.78;0;0;0.153998
41 ; 14;40.4203;273.975;27.3093;38.5188;47.2805;1.93496;0.592304;1.34146;1.82927;2.29268;20;1;0;1;1;1;1;1;10.8715;1447.51;0;0;0
42 ; 14;39.665;262.963;26.6591;37.6017;46.9193;1.91905;0.574679;1.33333;1.80952;2.28571;14;1;0;1;1;1;1;1;21.4053;4140.65;0;0;0.271753
43 ; 14;39.0177;251.602;26.0391;36.7272;46.1499;1.90171;0.5516;1.34884;1.76744;2.25581;15;1;0;1;1;1;1;1;13.2123;2235.24;0;0;0
44 ; 13;38.3973;244.514;25.4473;35.8925;45.6975;1.88758;0.523676;1.38636;1.77273;2.25;9;1;0;1;1;1;1;1;17.0441;3941.65;0;0;0
45 ; 13;37.6124;236.39;24.8818;35.0949;44.682;1.87437;0.499536;1.42222;1.75556;2.2;8;1;0;1;1;1;1;1;15.683;3052.42;0;0;0
46 ; 12;37.0341;226.623;24.3409;34.332;43.7107;1.86087;0.478513;1.43478;1.73913;2.19565;7;1;0;1;1;1;1;1;6.59871;1069.13;0;0;0
47 ; 12;36.2461;217.082;23.823;33.6015;42.7807;1.84766;0.461205;1.40426;1.7234;2.19149;4;1;0;1;1;1;1;1;4.1402;523.858;0;0;0
48 ; 12;35.491;208.131;23.3267;32.9015;41.8894;1.83528;0.44469;1.375;1.72917;2.16667;5;1;0;1;1;1;1;1;2.27227;241.866;0;0;0
49 ; 12;34.7667;199.723;22.8506;32.23;41.0345;1.8215;0.433243;1.34694;1.71429;2.16327;11;1;0;1;1;1;1;1;3.7971;610.304;0;0;0
50 ; 11;34.1346;194.063;22.3936;31.5854;40.2138;1.80933;0.422777;1.34;1.72;2.12;14;1;0;1;1;1;1;1;15.4238;2744;0;0;0
51 ; 11;33.6466;186.652;21.9545;30.9661;39.4253;1.79817;0.411655;1.35294;1.70588;2.11765;7;1;0;1;1;1;1;1;12.9812;1479.97;0;0;0
52 ; 10;33.043;180.48;21.5323;30.3706;38.6672;1.78718;0.400881;1.36538;1.69231;2.11538;13;1;0;1;1;1;1;1;5.20939;463.4;0;0;0
53 ; 10;32.4595;175.188;21.126;29.7976;37.9376;1.7766;0.395225;1.35849;1.67925;2.09434;8;1;0;1;1;1;1;1;15.1101;2712.34;0;0;0
54 ; 10;32.0035;172.559;20.7348;29.2458;38.0312;1.76568;0.390585;1.35185;1.66667;2.09259;11;1;0;1;1;1;1;1;3.6107;306.988;0;0;0
55 ; 10;31.4216;166.341;20.3578;28.714;37.3397;1.75176;0.376846;1.34545;1.65455;2.05455;5;1;0;1;1;1;1;1;3.75543;173.958;0;0;0
56 ; 10;30.8605;160.453;19.9943;28.2013;36.6729;1.73738;0.366937;1.33929;1.64286;2.01786;8;1;0;1;1;1;1;1;4.56982;672.607;0;0;0
57 ; 9;30.3191;154.873;19.6435;27.7065;36.0295;1.72281;0.358001;1.31579;1.64912;2;9;1;0;1;1;1;1;1;8.22686;904.159;0;0;0
