gnerations , DifferentNumberOfGenome , averageFitness , varianceFitness , FirstQuartileFitness , medianFitness , thirdQuartileFitness, averageMatch , variance Match ,FirstQuartileMatch , medianMatch , thirdMatch , alive 
67,36,0.273433,0.0422494,0.149254,0.223881,0.343284,0.773333,0.228622,0,1,1,19
68,33,0.273333,0.0424746,0.147059,0.235294,0.338235,0.786667,0.221156,1,1,1,18
69,33,0.271884,0.0412061,0.144928,0.231884,0.333333,0.76,0.209067,0,1,1,23
70,30,0.271429,0.0408163,0.157143,0.228571,0.342857,0.76,0.209067,0,1,1,19
71,28,0.271925,0.0404839,0.15493,0.225352,0.338028,0.76,0.209067,0,1,1,19
72,30,0.27037,0.0391118,0.166667,0.222222,0.333333,0.76,0.209067,0,1,1,17
73,34,0.267945,0.037872,0.164384,0.219178,0.328767,0.76,0.209067,0,1,1,13
74,35,0.266126,0.0370537,0.162162,0.216216,0.324324,0.746667,0.189156,0,1,1,11
75,43,0.264,0.0362714,0.16,0.213333,0.32,0.72,0.2016,0,1,1,19
76,37,0.262105,0.0354098,0.157895,0.223684,0.315789,0.706667,0.207289,0,1,1,13
77,36,0.259913,0.0347647,0.155844,0.220779,0.311688,0.706667,0.207289,0,1,1,11
78,37,0.257607,0.0342151,0.153846,0.217949,0.307692,0.706667,0.207289,0,1,1,13
79,36,0.254684,0.0333492,0.151899,0.21519,0.303797,0.666667,0.222222,0,1,1,13
80,41,0.252833,0.0325816,0.15,0.2125,0.3,0.666667,0.222222,0,1,1,18
81,39,0.251193,0.0322166,0.148148,0.209877,0.296296,0.666667,0.222222,0,1,1,14
82,43,0.249106,0.0316327,0.146341,0.207317,0.292683,0.653333,0.226489,0,1,1,20
83,37,0.24996,0.0313315,0.144578,0.204819,0.301205,0.64,0.2304,0,1,1,23
84,36,0.250317,0.0307558,0.142857,0.202381,0.309524,0.626667,0.233956,0,1,1,19
85,37,0.248941,0.0303245,0.152941,0.2,0.317647,0.6,0.24,0,1,1,20
86,36,0.248837,0.0295078,0.151163,0.197674,0.325581,0.6,0.24,0,1,1,19
87,35,0.249195,0.0282703,0.149425,0.206897,0.287356,0.6,0.24,0,1,1,16
88,36,0.248636,0.0275171,0.147727,0.215909,0.318182,0.573333,0.244622,0,1,1,11
89,35,0.247041,0.026867,0.146067,0.213483,0.314607,0.56,0.2464,0,1,1,11
90,33,0.245333,0.0264716,0.144444,0.211111,0.311111,0.56,0.2464,0,1,1,9
91,34,0.244249,0.0257411,0.153846,0.208791,0.307692,0.546667,0.247822,0,1,1,14
92,34,0.243188,0.0253459,0.141304,0.206522,0.271739,0.546667,0.247822,0,1,1,10
93,39,0.24129,0.0254434,0.150538,0.204301,0.301075,0.546667,0.247822,0,1,1,13
94,39,0.239858,0.0248115,0.148936,0.202128,0.297872,0.546667,0.247822,0,1,1,15
95,38,0.238877,0.0245539,0.136842,0.210526,0.284211,0.533333,0.248889,0,1,1,10
96,39,0.237222,0.0241162,0.135417,0.208333,0.291667,0.533333,0.248889,0,1,1,11
97,40,0.235601,0.0235794,0.154639,0.206186,0.28866,0.533333,0.248889,0,1,1,12
98,39,0.234966,0.0230209,0.142857,0.204082,0.285714,0.52,0.2496,0,1,1,15
99,32,0.234478,0.0228366,0.151515,0.20202,0.282828,0.52,0.2496,0,1,1,8
100,37,0.2324,0.0223836,0.14,0.2,0.28,0.506667,0.249956,0,0,1,8
101,35,0.230759,0.0218671,0.138614,0.19802,0.277228,0.493333,0.249956,0,0,1,5
102,39,0.228889,0.0214776,0.147059,0.205882,0.27451,0.493333,0.249956,0,0,1,12
103,37,0.227314,0.0210641,0.145631,0.203883,0.271845,0.493333,0.249956,0,0,1,7
104,42,0.225641,0.0205605,0.144231,0.201923,0.269231,0.48,0.2496,0,0,1,11
105,40,0.224381,0.0200617,0.152381,0.2,0.266667,0.453333,0.247822,0,0,1,16
106,39,0.222767,0.0196627,0.150943,0.198113,0.264151,0.453333,0.247822,0,0,1,14
107,38,0.223053,0.0193585,0.149533,0.196262,0.261682,0.453333,0.247822,0,0,1,15
108,38,0.222222,0.0190306,0.148148,0.185185,0.259259,0.453333,0.247822,0,0,1,6
109,39,0.220673,0.0187412,0.146789,0.192661,0.256881,0.453333,0.247822,0,0,1,12
110,37,0.219515,0.0183178,0.145455,0.181818,0.254545,0.453333,0.247822,0,0,1,10
111,38,0.218498,0.0180528,0.144144,0.189189,0.261261,0.453333,0.247822,0,0,1,11
112,31,0.217976,0.0177808,0.142857,0.1875,0.258929,0.44,0.2464,0,0,1,8
