generations ; different number of genome ; average fitness ; variance Fitness ; first quartile Fitness ; median fitness ; third quartile fitness, average match ; variance match ;first quartile match ; median Match ; third quartile match ; agent alive; average genome's age; variance genome's age; first quartile genome's age; median genome's age ; third quartile genome's age ; yougest genome ;oldest genome 
41 ; 47;0.175556;0.0132492;0.0833333;0.152778;0.222222;1.43593;0.205709;1.125;1.38889;1.80556;21;34.32;92.1109;33;36;40;1;41
42 ; 44;0.176073;0.012959;0.0821918;0.150685;0.219178;1.42137;0.201143;1.12329;1.38356;1.78082;11;37.76;31.5157;36;40;41;1;42
43 ; 43;0.174595;0.0126163;0.0810811;0.148649;0.216216;1.40595;0.196666;1.10811;1.36486;1.75676;10;38.8;14.4;36;41;41;30;43
44 ; 46;0.172978;0.0123448;0.08;0.146667;0.213333;1.39022;0.192765;1.09333;1.34667;1.73333;12;39.8933;13.5086;38;41;42;30;44
45 ; 46;0.171404;0.0122806;0.0921053;0.144737;0.210526;1.37561;0.18905;1.07895;1.32895;1.71053;6;40.56;12.6464;39;41;44;30;45
46 ; 51;0.169177;0.0119637;0.0909091;0.142857;0.220779;1.36017;0.185323;1.06494;1.31169;1.68831;9;41.5067;11.1033;40;41;44;30;46
47 ; 47;0.167179;0.0116434;0.0897436;0.141026;0.217949;1.34667;0.182908;1.05128;1.29487;1.66667;10;42.76;10.4757;41;43;45;30;47
48 ; 46;0.166414;0.0112448;0.0886076;0.139241;0.21519;1.33283;0.178876;1.06329;1.3038;1.68354;6;43.5467;12.0078;41;44;46;30;48
49 ; 51;0.164833;0.0110404;0.0875;0.1375;0.2;1.31833;0.175101;1.025;1.2625;1.625;13;44.84;11.0411;42;46;47;33;49
50 ; 46;0.162963;0.0107626;0.0864198;0.135802;0.197531;1.30535;0.171219;1.03704;1.2716;1.64198;4;46.0933;10.9646;44;47;49;33;50
51 ; 45;0.160976;0.0105017;0.0853659;0.134146;0.195122;1.29106;0.16712;1.02439;1.2439;1.58537;3;46.5467;10.2478;44;47;49;33;51
52 ; 49;0.159518;0.0102147;0.0843373;0.13253;0.192771;1.27679;0.16298;1.01205;1.22892;1.56627;16;48.32;10.6443;46;49;51;33;52
53 ; 46;0.159048;0.0100213;0.0833333;0.130952;0.190476;1.26476;0.159773;1;1.21429;1.54762;6;50.04;7.18507;48;52;52;43;53
54 ; 49;0.157647;0.00977716;0.0823529;0.129412;0.188235;1.25271;0.156528;0.988235;1.2;1.52941;8;51.0133;6.65316;49;52;53;44;54
55 ; 52;0.156434;0.0096387;0.0813953;0.127907;0.197674;1.2414;0.153008;0.976744;1.18605;1.51163;13;51.88;5.8656;51;52;54;46;55
56 ; 45;0.155096;0.00944334;0.0804598;0.126437;0.206897;1.23111;0.150299;0.977011;1.17241;1.49425;7;52.7333;5.44889;52;53;55;46;56
57 ; 45;0.153333;0.00922994;0.0795455;0.125;0.204545;1.22;0.147175;0.977273;1.18182;1.52273;8;53.1867;5.83182;52;53;55;46;57
58 ; 48;0.15206;0.00898652;0.0786517;0.123596;0.191011;1.20974;0.145256;0.955056;1.14607;1.46067;11;54.0133;7.58649;52;54;56;46;58
59 ; 44;0.151111;0.00884609;0.0777778;0.122222;0.188889;1.19926;0.142615;0.944444;1.13333;1.45556;7;54.9867;7.66649;52;55;57;46;59
60 ; 51;0.149597;0.00864596;0.0769231;0.131868;0.186813;1.18872;0.139063;0.934066;1.13187;1.43956;15;56.48;7.6896;54;57;59;51;60
61 ; 44;0.148696;0.00852917;0.076087;0.130435;0.184783;1.18072;0.137116;0.934783;1.13043;1.42391;12;57.5067;8.46329;55;58;60;51;61
62 ; 40;0.147957;0.00837658;0.0752688;0.129032;0.182796;1.17362;0.13607;0.924731;1.13978;1.4086;12;58.3067;7.41262;57;59;60;52;62
63 ; 44;0.14695;0.00814454;0.0744681;0.12766;0.180851;1.16496;0.13414;0.914894;1.1383;1.40426;25;59.84;6.5344;58;60;62;54;63
64 ; 41;0.146807;0.00793025;0.0736842;0.126316;0.189474;1.15944;0.132159;0.915789;1.12632;1.38947;17;60.84;6.56107;60;61;63;54;64
65 ; 37;0.146944;0.00771867;0.0729167;0.125;0.1875;1.15278;0.131115;0.90625;1.11458;1.38542;14;61.24;7.19573;60;62;63;54;65
66 ; 40;0.145567;0.00754444;0.0721649;0.123711;0.185567;1.14639;0.129765;0.896907;1.10309;1.41237;20;62.1067;9.18862;60;63;64;55;66
