PoolSize
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,5,0,2,1,0,0,3,2,1,3,4,1,1,4,2,2,2,3,2,3,1,2,3,1,4,0,3,0,1,2,1,0,6,2,3,3,2,1,0,4,4,3,3,1,3,1,1,1,2,2,2,3,6,4,2,0,3,3,2,3,0,2,1,0,3,3,1,1,3,1,1,3,2,1,
0.5,4,0.5,2,1,0,0,2.5,2.5,1,2.5,2.5,1.5,2,2.5,1,1.5,3.5,3,2,3,1,2.5,2,1,3,0,3,0,1.5,1.5,1,0.5,4,1,1.5,3,2.5,1,0.5,3,3,2,3,1.5,2,1.5,2,0.5,2.5,2,2,1.5,5,3,1.5,0,2,3.5,3,3.5,0,2.5,0.5,0,2.5,2.5,0.5,1,3,1,1.5,3.5,1,1,
0.333333,3.66667,0.333333,2,0.666667,0.333333,0,2.33333,3,1,2,2,2,2,1.66667,1.33333,1.33333,2.66667,3.33333,2.66667,2,1,2.66667,2.66667,1,2.66667,0,2.66667,0,2,1.33333,1,1,3.33333,0.666667,1,3,2,1,1,2.33333,2.33333,1.66667,3,2.33333,2.33333,1.66667,2.66667,0.333333,2.66667,1.66667,2,2,4.33333,3.33333,1.33333,0,2.33333,3.66667,3,3,0.333333,2,1.33333,0.333333,2.33333,2.33333,1,1,2.66667,1,1.66667,3.66667,1,1.33333,
0.25,3.5,0.75,2,0.5,0.5,0,2,2.5,1.25,1.75,1.5,2,1.75,1.75,1.25,1.25,2.5,3.5,2.5,1.5,1.25,2.75,3,1,2.25,0,2.25,0,2,1.25,1,1.25,2.75,0.5,0.75,3,1.75,1.25,1.25,1.75,2.25,1.5,2.75,2.5,2.5,1.75,2.5,0.25,2.75,1.5,1.75,2.25,3.75,3.25,1.25,0,2.25,3.25,2.75,2.75,0.25,1.75,1.75,0.5,2,2.25,1.25,1,2.25,1,1.5,3.25,1,1.5,
0.4,3.4,0.8,2,0.4,0.6,0,2,2.2,1.4,1.6,1.2,2.2,2,1.6,1.2,1.2,2.6,3.4,2.4,1.2,1.4,2.6,2.8,1,2,0,2,0,2,1.4,0.8,1.4,2.4,0.6,0.6,3,1.6,1,1,1.4,2.2,1.4,2.6,2.4,2.4,1.8,2.4,0.2,2.8,1.4,1.6,2,3.4,3.2,1.2,0.2,2.2,3.2,2.6,2.4,0.2,1.6,1.8,0.4,1.8,2.2,1,1,1.8,1,1.6,3,1.4,1.2,
0.666667,3.16667,0.833333,2,0.333333,0.666667,0,2,2,1.5,1.66667,1,2,2,1.83333,1.33333,1.33333,2.66667,3.16667,2.16667,1,1.66667,2.5,2.66667,1.16667,1.83333,0,1.66667,0,1.83333,1.5,0.666667,1.5,2.16667,0.666667,0.5,3,1.5,0.833333,0.833333,1.16667,2.16667,1.33333,2.5,2.16667,2.16667,1.83333,2.16667,0.333333,2.83333,1.33333,1.66667,1.66667,3.16667,3.16667,1.33333,0.333333,2.16667,3.16667,2.5,2.66667,0.166667,1.5,1.5,0.333333,1.83333,2,0.833333,1,1.5,1,1.66667,2.66667,1.33333,1,
0.714286,3.14286,1.14286,2,0.285714,0.714286,0,2,1.85714,1.57143,1.85714,1.14286,1.85714,2.28571,1.85714,1.42857,1.42857,2.57143,3,2,0.857143,1.57143,2.42857,2.57143,1.42857,1.71429,0,1.42857,0,1.71429,1.42857,0.571429,1.57143,2,0.571429,0.571429,3,1.42857,0.714286,0.714286,1,2.14286,1.28571,2.42857,1.85714,2.14286,1.85714,2.14286,0.428571,3,1.28571,1.57143,1.57143,3,3,1.42857,0.428571,2.14286,3.28571,2.28571,2.71429,0.142857,1.42857,1.42857,0.428571,1.85714,1.85714,0.714286,1,1.42857,1.14286,1.57143,2.28571,1.28571,0.857143,
0.875,3.125,1.375,2,0.25,0.875,0,2,1.75,1.625,1.75,1.375,1.875,2.25,2,1.375,1.375,2.5,2.625,1.875,0.875,1.5,2.375,2.5,1.375,1.5,0,1.25,0.125,1.625,1.375,0.5,1.625,2,0.5,0.5,3,1.5,0.625,0.625,1,2.125,1.375,2.375,1.625,2,1.875,2.125,0.5,3,1.25,1.625,1.5,2.875,3.125,1.375,0.5,2.125,3.25,2,2.625,0.25,1.375,1.25,0.375,1.75,2,0.625,1,1.375,1.375,1.625,2,1.375,0.75,
1,3.11111,1.33333,2.11111,0.333333,0.888889,0.111111,2,1.66667,1.66667,1.66667,1.33333,1.88889,2.22222,2,1.22222,1.44444,2.33333,2.44444,1.77778,0.888889,1.44444,2.33333,2.44444,1.44444,1.33333,0.111111,1.11111,0.111111,1.44444,1.33333,0.555556,1.66667,2,0.444444,0.444444,3.11111,1.55556,0.555556,0.555556,1,2.11111,1.66667,2.33333,1.44444,2,1.88889,2.11111,0.444444,3.11111,1.22222,1.77778,1.33333,2.77778,3.11111,1.44444,0.444444,2.11111,3.44444,1.77778,2.44444,0.222222,1.33333,1.33333,0.333333,1.55556,2,0.555556,1,1.33333,1.55556,1.66667,1.77778,1.33333,0.666667,
