generations ; different number of genome ; average fitness ; variance Fitness ; first quartile Fitness ; median fitness ; third quartile fitness, average match ; variance match ;first quartile match ; median Match ; third quartile match ; agent alive; average genome's age; variance genome's age; first quartile genome's age; median genome's age ; third quartile genome's age ; yougest genome ;oldest genome 
0 ; 75;0;0;0;0;0;0;0;0;0;0;75;1;0;1;1;1;1;1
1 ; 75;0.706667;0.527289;0;1;1;1.77333;1.45529;1;2;2;75;1;0;1;1;1;1;1
2 ; 75;0.56;0.293067;0;0.5;1;1.82;0.910933;1;1.5;2.5;75;1;0;1;1;1;1;1
3 ; 75;0.462222;0.19524;0;0.333333;0.666667;1.76;0.671289;1;1.66667;2.33333;75;1;0;1;1;1;1;1
4 ; 75;0.41;0.176067;0;0.25;0.5;1.71667;0.642222;1.25;1.75;2.25;75;1;0;1;1;1;1;1
5 ; 75;0.36;0.139733;0;0.2;0.6;1.71733;0.667833;1;1.6;2.4;75;1;0;1;1;1;1;1
6 ; 75;0.328889;0.112573;0;0.333333;0.5;1.70667;0.690252;1.16667;1.66667;2.33333;75;1;0;1;1;1;1;1
7 ; 75;0.310476;0.115577;0;0.142857;0.428571;1.68381;0.686418;1;1.71429;2.28571;75;1;0;1;1;1;1;1
8 ; 75;0.286667;0.113239;0;0.25;0.375;1.67167;0.692406;1.125;1.625;2.375;75;1;0;1;1;1;1;1
9 ; 75;0.272593;0.0972159;0;0.222222;0.333333;1.66815;0.709957;1.11111;1.66667;2.33333;75;1;0;1;1;1;1;1
10 ; 75;0.257333;0.0891129;0;0.2;0.3;1.64667;0.708889;1.1;1.5;2.3;75;1;0;1;1;1;1;1
11 ; 75;0.241212;0.0829737;0;0.181818;0.272727;1.63152;0.688461;1.09091;1.54545;2.18182;75;1;0;1;1;1;1;1
12 ; 75;0.228889;0.0789062;0;0.166667;0.25;1.61556;0.668499;1.08333;1.58333;2.08333;75;1;0;1;1;1;1;1
13 ; 75;0.21641;0.0682751;0;0.153846;0.307692;1.61436;0.659171;1.07692;1.53846;2.15385;75;1;0;1;1;1;1;1
14 ; 75;0.207619;0.0656018;0;0.142857;0.214286;1.60476;0.655692;1;1.57143;2.14286;75;1;0;1;1;1;1;1
15 ; 75;0.208;0.0682619;0;0.133333;0.266667;1.59733;0.641948;1.06667;1.6;2.06667;75;1;0;1;1;1;1;1
16 ; 75;0.201667;0.0661014;0;0.125;0.25;1.5925;0.629725;1;1.5625;2.0625;75;1;0;1;1;1;1;1
17 ; 75;0.196078;0.0624068;0;0.117647;0.235294;1.59529;0.628924;1;1.52941;2.05882;75;1;0;1;1;1;1;1
18 ; 75;0.188889;0.059177;0;0.111111;0.222222;1.59333;0.6224;1;1.55556;2.05556;75;1;0;1;1;1;1;1
19 ; 75;0.18386;0.0578669;2.05531e-321;0.105263;0.210526;1.59439;0.625431;1;1.52632;2.05263;75;1;0;1;1;1;1;1
20 ; 56;0.183333;0.0574889;2.05531e-321;0.1;0.2;1.588;0.618856;1.05;1.45;2.05;62;1;0;1;1;1;1;1
21 ; 45;0.191746;0.0517595;0.047619;0.0952381;0.190476;1.62667;0.6397;1.09524;1.52381;2.09524;61;1;0;1;1;1;1;1
22 ; 36;0.193333;0.0477186;0.0454545;0.0909091;0.272727;1.64061;0.618081;1.13636;1.63636;2.13636;52;1;0;1;1;1;1;1
23 ; 29;0.193623;0.0440223;0.0434783;0.130435;0.26087;1.64928;0.602109;1.13043;1.6087;2.13043;47;1;0;1;1;1;1;1
24 ; 25;0.197778;0.0428284;0.0416667;0.125;0.291667;1.63611;0.57571;1.08333;1.54167;2.08333;38;1;0;1;1;1;1;1
25 ; 24;0.1952;0.0391236;0.04;0.12;0.28;1.6256;0.55111;1.04;1.56;2.04;31;1;0;1;1;1;1;1
26 ; 23;0.195385;0.0369925;0.0769231;0.153846;0.269231;1.60872;0.51607;1.07692;1.53846;2.03846;23;1;0;1;1;1;1;1
27 ; 22;0.190123;0.034324;0.0740741;0.148148;0.259259;1.5758;0.491204;1.07407;1.48148;1.96296;14;1;0;1;1;1;1;1
28 ; 22;0.184762;0.0325297;0.0714286;0.142857;0.25;1.53381;0.463228;1.03571;1.42857;1.96429;7;1;0;1;1;1;1;1
29 ; 22;0.18069;0.0309739;0.0689655;0.137931;0.241379;1.4892;0.437691;1;1.48276;1.93103;4;1;0;1;1;1;1;1
30 ; 33;0.174667;0.0289434;0.0666667;0.133333;0.233333;1.44444;0.412217;0.966667;1.43333;1.86667;17;6.02667;120.506;1;1;1;1;30
31 ; 31;0.171183;0.0274706;0.0645161;0.129032;0.225806;1.41161;0.39217;0.967742;1.3871;1.83871;5;14.16;208.854;1;1;30;1;31
32 ; 36;0.166667;0.025842;0.0625;0.125;0.21875;1.3775;0.371686;0.96875;1.375;1.78125;11;16.7467;217.336;1;30;30;1;32
33 ; 35;0.164848;0.0243463;0.0606061;0.121212;0.212121;1.34707;0.351596;0.878788;1.30303;1.72727;7;21.52;198.97;1;30;32;1;33
34 ; 39;0.160784;0.0230757;0.0588235;0.117647;0.205882;1.3149;0.331621;0.911765;1.29412;1.67647;9;26.0667;145.849;30;32;33;1;34
35 ; 39;0.16;0.0219211;0.0571429;0.114286;0.2;1.28419;0.314599;0.885714;1.25714;1.62857;7;28.8267;108.09;30;32;34;1;35
36 ; 42;0.155926;0.0206357;0.0555556;0.111111;0.222222;1.25481;0.29651;0.861111;1.22222;1.58333;9;31.36;69.0571;32;34;35;1;36
37 ; 41;0.152793;0.0198392;0.0540541;0.108108;0.216216;1.22739;0.276233;0.864865;1.21622;1.62162;11;33.12;47.1456;34;35;36;1;37
38 ; 44;0.150877;0.018972;0.0526316;0.105263;0.210526;1.20211;0.259948;0.842105;1.21053;1.57895;10;35.24;5.11573;34;36;37;30;38
39 ; 41;0.14735;0.0183404;0.0512821;0.102564;0.205128;1.1788;0.248064;0.820513;1.17949;1.5641;9;35.7733;4.65529;34;36;37;30;39
40 ; 37;0.144;0.0174307;0.05;0.1;0.2;1.15567;0.238043;0.775;1.15;1.5;5;36.2267;3.69529;35;36;38;30;39
41 ; 47;0.140488;0.0165908;0.0487805;0.097561;0.195122;1.13171;0.230339;0.780488;1.12195;1.4878;16;37.1467;5.27182;35;37;38;32;41
42 ; 40;0.13873;0.0158635;0.047619;0.0952381;0.190476;1.11238;0.221263;0.761905;1.09524;1.45238;5;38.56;6.77973;36;38;41;32;42
43 ; 46;0.136124;0.0150379;0.0465116;0.0930233;0.186047;1.09054;0.211539;0.767442;1.06977;1.4186;11;39.52;7.10293;37;41;41;34;43
44 ; 46;0.134545;0.0143493;0.0454545;0.0909091;0.181818;1.07303;0.203627;0.75;1.06818;1.43182;10;40.6;8.02667;38;41;43;34;44
45 ; 44;0.132148;0.0136677;0.0444444;0.0888889;0.177778;1.05541;0.19477;0.733333;1.04444;1.42222;12;41.8133;7.72516;41;43;44;34;45
46 ; 46;0.131014;0.013207;0.0434783;0.0869565;0.152174;1.03971;0.186785;0.695652;1.02174;1.36957;9;42.7867;7.63449;41;43;45;34;46
47 ; 47;0.129362;0.012926;0.0638298;0.0851064;0.170213;1.02099;0.177486;0.702128;1.02128;1.3617;8;43.7067;6.50062;43;44;45;36;47
48 ; 51;0.126944;0.01234;0.0625;0.0833333;0.166667;1.0025;0.169351;0.6875;1;1.33333;10;44.6133;7.01049;43;45;47;36;48
49 ; 50;0.124898;0.0118613;0.0612245;0.0816327;0.163265;0.986667;0.162027;0.673469;0.979592;1.30612;6;45.28;7.58827;44;45;48;36;49
50 ; 47;0.122667;0.0115982;0.06;0.08;0.14;0.970667;0.154798;0.66;0.96;1.28;7;46;7.14667;44;46;48;38;50
51 ; 46;0.121046;0.0111585;0.0588235;0.0784314;0.156863;0.955817;0.149103;0.647059;0.941176;1.2549;4;46.64;8.28373;45;47;49;38;51
52 ; 56;0.118974;0.0107169;0.0576923;0.0769231;0.153846;0.940256;0.143517;0.653846;0.923077;1.23077;16;48.08;9.1936;46;48;51;38;52
53 ; 44;0.118742;0.010412;0.0566038;0.0754717;0.169811;0.930314;0.138393;0.660377;0.924528;1.20755;8;49.5333;9.76889;47;50;52;38;53
54 ; 46;0.116543;0.0100299;0.0555556;0.0740741;0.166667;0.919012;0.133523;0.648148;0.925926;1.18519;12;50.3867;9.17049;49;52;52;38;54
55 ; 43;0.116364;0.00993499;0.0545455;0.0727273;0.163636;0.910061;0.127814;0.636364;0.909091;1.16364;14;51.44;10.1397;50;52;54;38;55
56 ; 45;0.115;0.00958537;0.0535714;0.0714286;0.160714;0.902857;0.12115;0.625;0.910714;1.14286;17;52.6133;7.67716;52;53;55;43;56
57 ; 45;0.114386;0.00912987;0.0526316;0.0701754;0.157895;0.894971;0.116996;0.631579;0.912281;1.14035;17;54.04;5.3184;52;54;56;47;57
58 ; 44;0.112874;0.00879345;0.0517241;0.0689655;0.155172;0.885977;0.114252;0.62069;0.896552;1.12069;9;55.0133;4.65316;54;56;57;49;58
59 ; 48;0.111412;0.00853527;0.0508475;0.0677966;0.152542;0.876384;0.111315;0.610169;0.881356;1.10169;11;55.9867;5.39982;55;56;58;49;59
60 ; 43;0.110889;0.00845551;0.05;0.0666667;0.15;0.868222;0.107194;0.6;0.883333;1.11667;6;56.88;5.83893;56;57;59;49;60
61 ; 43;0.109945;0.00835455;0.0491803;0.0655738;0.147541;0.856831;0.10305;0.590164;0.852459;1.08197;5;57.7067;4.98062;56;58;59;52;61
62 ; 40;0.108817;0.00814494;0.0483871;0.0645161;0.145161;0.845806;0.0997311;0.596774;0.854839;1.08065;2;58.2933;5.99396;56;59;60;52;62
63 ; 47;0.107513;0.00789165;0.047619;0.0634921;0.142857;0.834709;0.0965018;0.603175;0.84127;1.06349;11;59.2933;7.99396;57;60;61;52;63
64 ; 44;0.106667;0.00767821;0.046875;0.0625;0.140625;0.825;0.0939974;0.609375;0.828125;1.04688;4;60.4933;8.46329;59;61;63;52;64
65 ; 44;0.105026;0.00744378;0.0461538;0.0615385;0.138462;0.814974;0.0910263;0.6;0.830769;1.03077;6;61.4;8.88;59;63;63;52;65
66 ; 46;0.10404;0.00731762;0.0454545;0.0606061;0.136364;0.804848;0.0886744;0.590909;0.818182;1.01515;7;62.0667;9.74222;61;63;64;52;66
