generations ; different number of genome ; average fitness ; variance Fitness ; first quartile Fitness ; median fitness ; third quartile fitness, average match ; variance match ;first quartile match ; median Match ; third quartile match ; agent alive; average genome's age; variance genome's age; first quartile genome's age; median genome's age ; third quartile genome's age ; yougest genome ;oldest genome 
1 ; 75;0.210256;0.0356739;0.0769231;0.153846;0.269231;1.64256;0.500267;1.11538;1.65385;2.07692;75;1;0;1;1;1;1;1
2 ; 75;0.213333;0.0338305;0.0740741;0.185185;0.296296;1.65383;0.465642;1.14815;1.62963;2.07407;75;1;0;1;1;1;1;1
3 ; 75;0.214286;0.0334354;0.0714286;0.178571;0.285714;1.64857;0.426498;1.17857;1.60714;2.03571;75;1;0;1;1;1;1;1
4 ; 75;0.211034;0.0318973;0.0689655;0.172414;0.310345;1.63678;0.396269;1.13793;1.62069;2.06897;75;1;0;1;1;1;1;1
5 ; 75;0.208444;0.0306694;0.0666667;0.166667;0.3;1.632;0.369495;1.16667;1.63333;2.06667;75;1;0;1;1;1;1;1
6 ; 75;0.206452;0.0304405;0.0645161;0.16129;0.290323;1.63097;0.349282;1.16129;1.64516;2.03226;75;1;0;1;1;1;1;1
7 ; 75;0.2025;0.0292021;0.0625;0.15625;0.28125;1.62333;0.327367;1.15625;1.625;2;75;1;0;1;1;1;1;1
8 ; 75;0.2;0.0287236;0.0606061;0.151515;0.30303;1.62061;0.307643;1.15152;1.63636;1.9697;75;1;0;1;1;1;1;1
9 ; 75;0.198039;0.0293041;0.0588235;0.147059;0.294118;1.61529;0.29575;1.14706;1.61765;1.94118;75;1;0;1;1;1;1;1
10 ; 75;0.194667;0.0285756;0.0571429;0.142857;0.285714;1.60571;0.284473;1.14286;1.62857;1.88571;75;1;0;1;1;1;1;1
11 ; 75;0.190741;0.0276818;0.0555556;0.138889;0.277778;1.59407;0.274216;1.13889;1.61111;1.88889;75;1;0;1;1;1;1;1
12 ; 75;0.186306;0.0262103;0.0540541;0.135135;0.27027;1.58523;0.266131;1.13514;1.59459;1.89189;75;1;0;1;1;1;1;1
13 ; 75;0.182807;0.0255567;0.0526316;0.157895;0.263158;1.57439;0.260007;1.13158;1.57895;1.86842;75;1;0;1;1;1;1;1
14 ; 75;0.179829;0.0248169;0.0512821;0.153846;0.25641;1.56786;0.253652;1.12821;1.58974;1.84615;75;1;0;1;1;1;1;1
15 ; 75;0.176333;0.0237316;0.05;0.15;0.25;1.56133;0.250888;1.125;1.6;1.85;75;1;0;1;1;1;1;1
16 ; 75;0.174634;0.0234787;0.0487805;0.146341;0.243902;1.55512;0.24712;1.12195;1.60976;1.80488;75;1;0;1;1;1;1;1
17 ; 75;0.173333;0.0238936;0.047619;0.142857;0.238095;1.54857;0.245479;1.11905;1.59524;1.83333;75;1;0;1;1;1;1;1
18 ; 75;0.171783;0.0240836;0.0465116;0.139535;0.232558;1.54388;0.24333;1.11628;1.5814;1.86047;75;1;0;1;1;1;1;1
19 ; 75;0.169394;0.0232272;0.0681818;0.136364;0.227273;1.54061;0.24185;1.11364;1.56818;1.84091;75;1;0;1;1;1;1;1
20 ; 63;0.167704;0.0225619;0.0444444;0.133333;0.222222;1.53748;0.241076;1.15556;1.55556;1.82222;58;1;0;1;1;1;1;1
21 ; 49;0.170725;0.0223024;0.0652174;0.130435;0.217391;1.55971;0.245067;1.17391;1.56522;1.8913;54;1;0;1;1;1;1;1
22 ; 46;0.171631;0.022011;0.0638298;0.12766;0.234043;1.56057;0.242469;1.17021;1.53191;1.87234;45;1;0;1;1;1;1;1
23 ; 41;0.170833;0.0212963;0.0625;0.125;0.229167;1.56278;0.242517;1.1875;1.52083;1.875;40;1;0;1;1;1;1;1
24 ; 40;0.171973;0.0202824;0.0612245;0.122449;0.244898;1.55946;0.242278;1.16327;1.5102;1.91837;36;1;0;1;1;1;1;1
25 ; 36;0.171467;0.0195858;0.06;0.14;0.24;1.55013;0.237913;1.18;1.52;1.92;27;1;0;1;1;1;1;1
26 ; 31;0.171503;0.018845;0.0784314;0.137255;0.235294;1.5383;0.234415;1.17647;1.5098;1.88235;21;1;0;1;1;1;1;1
27 ; 31;0.169231;0.0179487;0.0769231;0.134615;0.230769;1.52077;0.230481;1.15385;1.48077;1.84615;17;1;0;1;1;1;1;1
28 ; 31;0.166792;0.0172402;0.0754717;0.132075;0.226415;1.50239;0.225881;1.13208;1.45283;1.81132;14;1;0;1;1;1;1;1
