nbgenome
500,500,500,500,500,500,500,500,500,255,163,123,92,73,70,63,57,49,42,33,30,29,26,25,23,20,17,16,14,11,10,11,9,8,8,7,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
500,500,500,500,500,500,500,500,500,246,175,129,106,82,72,59,49,44,35,29,27,22,20,18,15,14,10,9,8,9,9,7,7,7,7,6,6,6,6,6,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
500,500,500,500,500,500,500,500,500,246,168,126,103,80,66,59,53,47,43,30,26,26,19,18,17,15,12,11,10,9,9,7,6,6,6,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
500,500,500,500,500,500,500,500,500,241,173,132,109,87,73,56,49,42,39,25,24,23,18,18,16,15,15,14,13,13,13,13,12,12,10,10,10,10,10,10,10,9,9,9,9,9,8,8,8,8,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
500,500,500,500,500,500,500,500,500,258,177,135,107,88,77,67,59,54,49,34,32,31,28,25,20,14,12,11,11,10,8,6,6,5,5,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
500,500,500,500,500,500,500,500,500,240,170,127,96,84,71,58,47,41,38,27,25,22,20,16,13,12,11,10,9,9,9,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
500,500,500,500,500,500,500,500,500,252,180,139,113,89,74,62,51,45,43,28,24,23,18,15,15,14,13,11,11,11,10,10,8,7,7,6,5,5,5,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
500,500,500,500,500,500,500,500,500,258,187,128,107,93,82,68,62,57,52,28,22,20,20,18,18,16,14,12,10,10,10,9,9,9,9,8,8,8,7,7,7,6,6,6,6,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
500,500,500,500,500,500,500,500,500,245,179,134,105,87,74,60,51,45,39,31,26,23,22,18,18,15,14,12,12,11,8,8,8,8,8,8,8,8,8,7,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,
500,500,500,500,500,500,500,500,500,251,177,137,108,92,74,60,50,46,40,28,23,20,20,17,16,15,14,12,11,10,9,9,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
